[Wed Jan 11 16:01:11.656535 2017] [:error] [pid 2932] [client 127.0.0.1:41312] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:02:21.826908 2017] [:error] [pid 4902] [client 127.0.0.1:41416] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:02:21.831489 2017] [:error] [pid 4902] [client 127.0.0.1:41416] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:06:47.063678 2017] [:error] [pid 2932] [client 127.0.0.1:41578] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:06:47.068090 2017] [:error] [pid 2932] [client 127.0.0.1:41578] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:06:48.698619 2017] [:error] [pid 4902] [client 127.0.0.1:41580] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:06:48.702761 2017] [:error] [pid 4902] [client 127.0.0.1:41580] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42, referer: http://dev.aplikacijapweb/app_dev.php/admin
[Wed Jan 11 16:10:21.213296 2017] [:error] [pid 4855] [client 127.0.0.1:41594] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:21.217420 2017] [:error] [pid 4855] [client 127.0.0.1:41594] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
[Wed Jan 11 16:10:26.039999 2017] [:error] [pid 4903] [client 127.0.0.1:41596] PHP Fatal error:  Call to a member function getUser() on null in /var/www/Aplikacija_Pweb/src/AppBundle/EventListener/RedirectUserListener.php on line 42
